"순 이름 팀 정렬
7 KIA 19 17.66 1807 5505 4874 605 1286 248 19 76 1800 566 87 42 496 59 13 919 108 31 45 .264 .336 .369 .706 .328 95.8 17.66 -3.84
8 삼성 19 17.27 1652 5533 4866 622 1245 230 26 122 1893 598 107 42 478 78 15 976 107 58 53 .256 .329 .389 .718 .328 94.6 17.27 -4.93
9 한화 19 14.98 1738 5482 4882 607 1249 223 16 88 1768 562 105 51 441 70 12 1090 112 44 45 .256 .324 .362 .686 .317 92.1 14.98 -7.10
10 롯데 19 10.91 1821 5488 4919 578 1231 214 22 90 1759 545 62 31 430 64 12 1085 108 35 40 .250 .316 .358 .674 .312 86.0 10.91 -10.09
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
1 NC 20 33.23 1979 5833 5102 888 1483 258 28 187 2358 845 101 38 529 104 21 997 106 46 51 .291 .366 .462 .828 .370 114.9 33.23 17.79
2 두산 20 31.25 1894 5773 5043 816 1476 263 20 125 2154 776 88 37 552 67 20 796 132 38 73 .293 .365 .427 .792 .359 114.1 31.25 13.49
3 LG 20 27.14 1985 5681 4999 802 1384 253 29 149 2142 760 83 39 509 75 21 969 115 49 49 .277 .349 .428 .778 .350 108.8 27.14 8.97
4 KT 20 26.58 2002 5762 5047 813 1432 238 21 163 2201 767 106 50 554 52 20 1097 104 64 45 .284 .358 .436 .794 .356 106.6 26.58 15.08
5 키움 20 26.34 1767 5721 4945 759 1332 254 25 127 2017 713 113 26 608 73 16 1030 107 43 52 .269 .355 .408 .762 .347 104.3 26.34 10.36
6 롯데 20 20.52 1745 5669 4958 750 1366 252 6 131 2023 711 90 31 569 55 18 875 148 39 48 .276 .354 .408 .762 .347 99.7 20.52 10.01
7 KIA 20 18.79 1807 5637 4933 724 1353 224 13 130 1993 692 47 25 534 69 10 957 113 63 38 .274 .351 .404 .755 .343 98.6 18.79 8.55
8 삼성 20 15.90 1865 5574 4923 699 1317 211 12 129 1939 658 132 49 486 62 10 990 117 50 53 .268 .338 .394 .732 .333 91.1 15.90 -0.43
9 SK 20 10.38 1897 5502 4839 634 1212 177 17 143 1852 595 81 45 511 69 18 981 112 49 34 .250 .329 .383 .711 .324 85.3 10.38 -2.01
10 한화 20 4.66 1887 5483 4862 551 1189 195 12 79 1645 523 51 36 462 89 9 1163 119 45 25 .245 .320 .338 .658 .306 76.9 4.66 -12.09
"순 이름 팀 정렬
G
타석
타수
득점
안타
2타
3타
홈런
루타
타점
도루
도실
볼넷
사구
고4
삼진
병살
희타
희비
비율
WAR*
WPA"
"WAR*
타율
출루
장타
OPS
wOBA
wRC+"
1 SSG 21 28.21 1930 5736 4899 755 1278 205 13 185 2064 712 100 43 636 94 23 1056 106 55 52 .261 .354 .421 .775 .357 108.7 28.21 10.41
2 두산 21 26.14 1980 5645 4900 738 1314 235 17 110 1913 698 81 37 560 86 13 943 137 46 53 .268 .350 .390 .741 .346 107.5 26.14 3.66
3 롯데 21 24.48 1809 5726 5009 727 1393 266 10 107 2000 697 60 31 579 54 19 969 113 38 46 .278 .356 .399 .756 .352 105.5 24.48 3.95
4 NC 21 23.83 1909 5532 4808 702 1254 203 17 170 2001 670 100 46 511 111 14 1093 94 59 43 .261 .343 .416 .759 .349 104.5 23.83 4.54
5 KT 21 22.37 1999 5619 4802 719 1274 219 11 106 1833 675 112 46 645 58 27 1044 105 69 44 .265 .356 .382 .738 .344 100.8 22.37 4.65
6 키움 21 22.34 1827 5645 4868 720 1259 244 28 90 1829 669 96 26 593 93 17 1051 93 35 56 .259 .347 .376 .722 .340 99.9 22.34 4.10
7 삼성 21 21.87 1816 5552 4836 712 1292 204 18 133 1931 669 116 44 545 55 21 902 98 48 68 .267 .344 .399 .743 .344 100.8 21.87 7.49
8 LG 21 21.04 1960 5533 4750 654 1188 210 11 110 1750 622 92 34 593 93 16 926 102 52 45 .250 .342 .368 .710 .334 99.4 21.04 0.50
9 한화 21 11.86 1606 5495 4687 599 1111 213 17 80 1598 554 110 56 632 75 14 1286 110 53 48 .237 .334 .341 .675 .320 87.6 11.86 -10.31
10 KIA 21 10.61 1708 5577 4831 568 1198 183 21 66 1621 546 73 31 595 73 16 921 119 41 37 .248 .337 .336 .673 .321 86.7 10.61 -3.12
