,name,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,이루타,삼루타,홈런,볼넷,고의사구,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,wpa,year,team
84,소형준,2.37,26,0,0,24,13,6,0,0,133.0,63,57,572,141,23,0,6,45,0,6,92,0,2,3.86,3.91,1.4,124.6,122.0,0.3,20,KT
85,김재윤,2.22,56,0,0,0,5,3,21,1,60.2,23,22,256,62,4,2,7,15,3,0,58,0,0,3.26,3.74,1.27,147.2,127.7,0.16,20,KT
86,배제성,2.21,28,1,1,21,10,10,0,0,131.2,58,55,564,132,18,3,6,56,0,3,91,0,10,3.76,3.96,1.43,110.1,104.5,0.18,19,KT
87,주권,2.08,71,0,0,0,6,2,2,25,75.1,25,25,296,64,15,0,7,14,0,2,47,0,1,2.99,4.0,1.04,138.6,102.8,3.22,19,KT
88,쿠에바스,1.94,23,1,1,23,9,4,0,0,133.1,68,61,580,131,21,3,11,51,0,3,137,0,6,4.12,3.57,1.37,109.1,124.8,0.02,21,KT
89,금민철,1.89,29,0,0,29,8,12,0,0,156.1,104,94,720,212,30,1,19,68,1,7,79,0,10,5.41,5.82,1.79,97.9,89.2,-3.08,18,KT
90,고영표,1.8,25,3,1,23,6,9,0,0,142.0,91,81,620,175,27,4,17,25,1,14,134,1,2,5.13,4.31,1.41,103.2,120.6,-2.0,18,KT
91,조현우,1.79,54,0,0,0,5,1,1,9,46.2,16,16,196,38,8,1,1,22,1,1,33,0,3,3.09,3.83,1.29,155.7,124.7,1.06,20,KT
92,김재윤,1.68,43,0,0,0,2,2,7,9,47.2,13,12,177,27,3,0,4,12,2,1,42,0,1,2.27,3.42,0.82,182.7,120.2,1.38,19,KT
93,이보근,1.48,49,0,0,0,3,1,6,9,46.2,17,13,192,42,5,0,2,12,1,2,27,0,3,2.51,3.79,1.16,191.6,125.8,0.04,20,KT
94,김재윤,1.38,62,0,0,0,7,5,15,0,61.0,34,31,271,76,10,1,11,15,4,1,66,0,3,4.57,4.6,1.49,115.9,113.2,-0.37,18,KT
95,주권,1.38,62,0,0,0,3,4,0,27,49.0,19,18,208,48,7,1,3,19,2,1,19,0,1,3.31,4.46,1.37,135.9,99.5,0.65,21,KT
96,김민수,1.33,33,0,0,0,0,2,2,9,34.1,9,8,140,30,7,1,2,6,2,1,37,0,3,2.1,2.36,1.05,188.9,166.0,0.53,22,KT
97,박시영,1.23,48,0,0,0,3,3,0,12,45.0,16,12,180,30,2,0,4,15,2,1,51,0,5,2.4,3.16,1.0,187.1,141.1,-0.07,21,KT
98,김민수,1.18,56,0,0,1,4,2,0,11,58.0,25,19,253,56,8,1,2,24,3,3,55,1,3,2.95,3.13,1.38,152.3,142.2,-0.18,21,KT
99,심재민,1.17,28,0,0,2,0,1,0,1,46.2,15,15,189,41,4,0,4,11,1,0,35,0,0,2.89,3.59,1.11,155.3,123.8,-0.07,21,KT
100,유원상,1.16,62,0,0,0,2,1,2,9,64.0,32,27,271,52,12,0,8,28,1,1,37,0,5,3.8,5.34,1.25,126.5,89.0,0.01,20,KT
101,소형준,1.02,24,0,0,24,7,7,0,0,119.0,67,55,521,123,17,0,6,51,1,4,85,0,5,4.16,3.92,1.46,108.0,113.3,-0.52,21,KT
102,배제성,0.94,14,0,0,14,3,6,0,0,82.2,41,35,341,74,9,2,7,28,0,0,71,0,8,3.81,3.72,1.23,104.0,105.0,0.06,22,KT
103,엄상백,0.94,10,0,0,9,4,1,0,0,52.2,24,24,228,41,10,0,7,28,0,3,45,0,0,4.1,5.12,1.31,109.5,86.7,0.03,21,KT
104,조현우,0.88,49,0,0,0,0,0,0,6,31.0,10,9,126,26,5,1,0,7,1,1,13,0,2,2.61,3.17,1.07,171.9,140.3,0.73,21,KT
105,전유수,0.88,62,0,0,1,3,1,1,7,66.1,31,25,280,66,16,1,2,18,4,4,46,0,6,3.39,3.22,1.27,122.0,128.9,-1.21,19,KT
