,ranking,name,season_team,war,choolzhang,wanto,sonbal,win,loose,save,hold,inning,silzeom,zachaeck,taza,anta,2hit,3hit,homerun,ballfour,gofour,sagu,samzin,vok,poktu,era,fip,whip,wra+,fip+,wpa
153,16,플럿코,22L,1.56,14,0,0,14,6,3,0,0,83.1,35,28,339,68,9,1,9,22,1,0,81,0,5,3.02,1.08,127.2,106.5,0.50
154,17,임찬규,20L,1.51,27,0,0,26,10,9,0,0,147.2,76,67,641,143,29,2,14,65,0,5,138,0,4,4.08,1.41,113.3,106.3,-0.22
155,18,정찬헌,20L,1.50,19,1,1,19,7,4,0,0,110.1,51,43,470,116,22,1,10,31,0,4,85,0,5,3.51,1.33,131.9,111.4,0.66
156,19,고우석,22L,1.49,30,0,0,0,1,1,20,0,28.0,7,6,116,22,5,1,3,13,3,1,34,0,3,1.93,1.25,199.5,108.8,1.51
157,20,차우찬,19L,1.44,29,0,0,28,13,8,0,0,168.1,87,77,730,181,30,1,16,59,0,5,124,0,13,4.12,1.43,99.7,94.1,0.19
158,21,임찬규,21L,1.38,17,0,0,17,1,8,0,0,90.2,45,39,387,76,9,3,7,41,1,3,67,0,5,3.87,1.29,111.4,101.1,0.15
159,22,이민호,21L,1.35,25,0,0,22,8,9,0,0,115.0,58,55,477,89,17,0,13,45,1,14,100,0,6,4.30,1.17,100.2,93.7,0.13
160,23,최동환,20L,1.28,54,0,0,0,4,1,0,4,57.0,23,22,228,54,10,1,6,12,0,2,42,0,3,3.47,1.16,133.2,109.8,-0.04
161,24,정우영,22L,1.20,31,0,0,0,1,1,0,16,30.1,8,8,129,23,0,0,2,20,2,2,21,0,0,2.37,1.42,162.1,80.6,0.91
162,25,정찬헌,18L,1.16,66,0,0,0,5,3,27,0,65.0,36,35,299,76,14,0,5,24,3,7,50,0,2,4.85,1.54,104.1,110.3,-1.70
