39 김대우 21삼 -0.39 31 0 0 4 0 2 0 1 51.0 39 36 234 68 18 0 7 15 1 2 27 0 1 6.35 5.00 1.63 71.0 91.0 -0.39 -1.41
40 윤성환 18삼 -0.52 24 0 0 24 5 9 0 0 117.1 99 91 542 164 30 0 28 32 0 9 89 0 2 6.98 6.47 1.67 76.0 81.9 -0.52 -3.55
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
1 루친스키 20N 5.59 30 0 0 30 19 5 0 0 183.0 67 62 770 173 12 3 14 57 0 11 167 0 11 3.05 3.84 1.26 160.2 125.8 5.59 3.04
2 루친스키 19N 4.64 30 2 0 30 9 9 0 0 177.1 68 60 731 164 20 1 13 45 0 11 119 0 7 3.05 3.96 1.18 138.4 106.6 4.64 2.51
3 구창모 20N 4.62 15 0 0 14 9 0 0 1 93.1 20 18 348 58 12 0 7 18 0 0 102 0 2 1.74 2.92 0.81 281.5 165.6 4.62 2.80
4 루친스키 21N 4.48 30 0 0 30 15 10 0 0 178.2 76 63 754 160 24 1 12 55 0 10 177 2 6 3.17 3.32 1.20 143.1 135.9 4.48 1.88
5 박진우 19N 3.82 41 0 0 18 9 7 0 5 140.2 53 49 590 137 18 0 9 29 0 19 92 0 2 3.14 3.95 1.18 134.4 106.8 3.82 2.46
6 파슨스 21N 3.71 24 1 0 24 4 8 0 0 133.0 56 55 577 109 16 2 9 63 0 11 148 1 10 3.72 3.66 1.29 122.0 123.3 3.71 0.50
7 루친스키 22N 3.44 14 0 0 14 5 4 0 0 94.2 26 19 371 71 13 1 4 11 0 4 104 0 5 1.81 2.12 0.87 215.2 184.6 3.44 2.84
8 구창모 19N 2.67 23 0 0 19 10 7 0 1 107.0 40 38 449 85 15 2 10 42 0 5 114 0 7 3.20 3.81 1.19 131.8 111.5 2.67 1.09
9 이재학 18N 2.67 29 1 0 29 5 13 0 0 152.1 87 81 658 157 27 2 13 49 2 10 116 0 6 4.79 4.54 1.35 108.4 115.4 2.67 -1.06
10 신민혁 21N 2.65 30 0 0 25 9 6 0 0 145.0 75 71 625 155 28 3 17 44 0 5 107 2 2 4.41 4.40 1.37 103.0 102.9 2.65 0.11
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
11 프리드릭 19N 2.38 12 2 1 12 7 4 0 0 72.0 22 22 294 63 6 0 4 22 1 3 56 0 2 2.75 3.57 1.18 153.2 118.3 2.38 0.79
12 송명기 20N 2.31 36 0 0 12 9 3 0 0 87.2 37 36 372 78 13 0 12 39 1 2 72 0 7 3.70 5.06 1.34 132.2 95.9 2.31 0.10
13 왕웨이중 18N 2.28 25 0 0 25 7 10 0 0 141.2 83 67 615 169 25 1 16 40 2 2 108 0 2 4.26 4.62 1.48 121.9 113.5 2.28 -0.52
14 베렛 18N 2.22 29 0 0 29 6 10 0 0 155.0 94 91 698 178 31 2 24 59 0 9 144 1 10 5.28 5.30 1.53 98.2 99.1 2.22 -2.29
15 라이트 20N 2.01 29 0 0 29 11 9 0 0 157.2 87 82 696 164 27 2 12 63 0 10 125 2 5 4.68 4.35 1.44 104.4 111.0 2.01 -1.57
16 이재학 19N 1.70 24 0 0 23 10 4 0 0 129.2 62 55 560 133 24 2 6 43 0 9 91 0 6 3.82 3.80 1.36 110.4 110.9 1.70 0.29
17 구창모 18N 1.63 36 0 0 23 5 11 0 1 133.0 83 79 598 158 31 2 21 52 0 7 116 1 16 5.35 5.47 1.58 97.1 96.1 1.63 -1.07
18 최성영 19N 1.45 26 0 0 15 4 1 0 2 82.1 39 36 368 79 15 3 3 48 0 4 62 0 3 3.94 4.27 1.54 107.1 98.9 1.45 -0.01
19 원종현 20N 1.09 58 0 0 0 3 5 30 0 57.0 30 27 245 56 5 1 4 20 1 2 41 0 4 4.26 4.13 1.33 114.6 116.7 1.09 0.60
20 원종현 21N 0.91 61 0 0 0 2 2 14 6 53.0 27 25 245 67 9 0 5 23 2 3 45 0 4 4.25 4.22 1.70 107.0 107.0 0.91 -1.58
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
21 원종현 18N 0.88 59 0 0 0 3 6 2 17 64.1 38 37 275 78 5 1 7 22 1 2 36 0 5 5.18 5.20 1.55 100.3 101.0 0.88 -1.21
22 김정훈 19N 0.62 44 0 0 0 0 2 0 7 51.1 23 21 215 49 11 0 5 16 0 4 32 0 3 3.68 4.59 1.27 114.5 91.9 0.62 0.66
23 배재환 19N 0.60 62 0 0 0 3 5 0 20 54.1 26 22 247 49 9 0 3 31 2 7 61 1 2 3.64 3.86 1.47 115.6 109.5 0.60 -0.66
24 신민혁 22N 0.53 11 0 0 11 2 5 0 0 60.1 30 28 265 63 17 1 5 17 1 8 52 0 4 4.18 3.84 1.33 93.1 102.6 0.53 -0.03
25 이재학 21N 0.53 17 2 1 17 6 6 0 0 83.0 50 48 370 74 16 1 14 52 0 6 65 0 3 5.20 6.06 1.52 87.2 74.8 0.53 -0.45
26 강윤구 19N 0.44 67 0 0 0 3 3 0 15 56.1 29 28 242 55 4 4 4 24 2 4 49 0 2 4.47 3.97 1.40 94.2 106.3 0.44 0.47
27 최성영 18N 0.43 28 0 0 8 2 2 1 0 64.1 43 42 282 66 14 0 11 25 1 4 57 0 6 5.88 5.59 1.42 88.3 94.1 0.43 -0.31
28 이형범 18N 0.42 23 0 0 4 1 1 0 0 54.0 36 31 238 62 11 0 5 24 2 1 22 0 3 5.17 5.50 1.59 100.5 95.5 0.42 -0.42
29 원종현 19N 0.41 60 0 0 0 3 3 31 0 60.0 31 27 256 62 9 2 4 17 2 3 59 0 5 4.05 3.20 1.32 104.0 132.1 0.41 0.74
30 김영규 21N 0.32 37 0 0 8 5 3 0 6 63.2 40 38 286 69 8 0 10 28 0 1 42 0 3 5.37 5.42 1.52 84.5 83.6 0.32 -0.56
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
31 김영규 19N 0.18 30 1 1 10 5 4 0 1 66.1 40 39 307 82 6 1 7 31 0 6 46 0 4 5.29 5.06 1.70 79.6 83.4 0.18 -0.63
32 이민호 18N 0.15 50 0 0 0 5 4 14 0 50.0 34 26 224 52 9 0 8 19 1 3 42 1 2 4.68 5.49 1.42 110.9 95.8 0.15 -1.93
33 정수민 18N 0.14 25 0 0 7 2 5 0 1 58.0 43 39 278 69 8 2 10 33 0 3 38 0 7 6.05 6.63 1.76 85.8 79.5 0.14 -1.15
34 송명기 21N 0.10 24 0 0 24 8 9 0 0 123.1 83 81 574 147 39 2 12 58 1 9 102 1 2 5.91 4.55 1.66 76.8 99.3 0.10 -0.74
35 김건태 18N 0.06 21 0 0 9 2 3 0 0 53.0 38 32 247 60 11 1 7 24 0 7 39 1 3 5.43 5.83 1.59 95.5 90.1 0.06 -0.73
36 버틀러 19N 0.04 13 0 0 13 3 6 0 0 73.2 46 39 326 78 18 1 6 28 1 2 49 0 4 4.76 4.31 1.44 88.4 97.8 0.04 -1.15
37 김영규 20N 0.04 20 0 0 13 2 2 0 1 67.2 47 41 296 83 9 2 12 14 0 2 55 2 5 5.45 4.95 1.43 89.6 98.5 0.04 -1.22
38 장현식 19N 0.02 53 0 0 0 5 4 0 9 54.2 31 28 246 58 7 1 9 23 0 4 49 0 6 4.61 5.23 1.48 91.4 81.0 0.02 -0.48
39 강윤구 18N -0.11 69 0 0 0 7 5 1 17 54.2 41 37 243 54 10 1 10 26 0 1 65 0 4 6.09 5.32 1.46 85.2 98.9 -0.11 -0.64
40 최성영 20N -0.14 14 0 0 13 2 4 0 0 60.2 45 41 278 67 14 0 13 35 0 3 27 0 2 6.08 7.33 1.68 80.3 66.3 -0.14 -2.09
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
1 요키시 20키 5.53 27 0 0 27 12 7 0 0 159.2 53 38 640 144 26 3 6 25 0 6 115 1 3 2.14 3.19 1.06 220.3 147.3 5.53 3.20
2 요키시 21키 4.66 31 0 0 31 16 9 0 0 181.1 71 59 739 171 24 0 12 46 2 4 131 0 9 2.93 3.54 1.20 151.4 122.4 4.66 1.62
3 요키시 19키 4.23 30 1 1 30 13 9 0 0 181.1 72 63 746 166 33 5 9 39 0 11 141 0 6 3.13 3.32 1.13 132.4 124.5 4.23 1.09
4 브리검 19키 3.69 28 0 0 28 13 5 0 0 158.1 62 52 669 148 32 2 5 46 0 12 130 1 7 2.96 3.27 1.23 140.0 126.9 3.69 1.21
5 최원태 19키 3.10 27 0 0 27 11 5 0 0 157.1 68 59 666 165 28 2 5 36 0 5 105 0 5 3.38 3.26 1.28 122.6 127.1 3.10 0.60
6 조상우 20키 2.98 53 0 0 0 5 3 33 0 54.1 15 13 232 50 5 0 3 18 2 2 64 0 1 2.15 2.91 1.25 219.1 159.0 2.98 1.61
7 요키시 22키 2.89 14 0 0 14 7 4 0 0 89.0 27 24 343 73 16 2 5 9 0 2 84 0 1 2.43 2.51 0.92 157.1 150.0 2.89 1.87
8 안우진 21키 2.45 21 0 0 21 7 8 0 0 107.2 47 39 450 88 15 1 13 41 1 7 110 1 5 3.26 4.17 1.20 136.0 102.7 2.45 0.55
9 브리검 20키 2.40 21 0 0 21 9 5 0 0 107.0 45 43 456 98 7 2 6 42 1 5 105 0 8 3.62 3.61 1.31 130.5 129.1 2.40 1.08
10 안우진 22키 2.18 13 0 0 13 7 4 0 0 81.0 27 22 330 62 20 2 1 28 0 1 94 0 4 2.44 2.21 1.11 156.0 172.6 2.18 1.77
"순 이름 팀 정렬
출장
완투
완봉
선발
승
패
세
홀드
이닝
실점
자책
타자
안타
2타
3타
홈런
볼넷
고4
사구
삼진
보크
폭투
비율
WAR
WPA"
"WAR
ERA
FIP
WHIP
ERA+
FIP+"
